Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Compiler,RustPython,https://github.com/RustPython,RustPython,https://github.com/RustPython/RustPython,A Python Interpreter written in Rust,21700
Compiler,oracle,https://github.com/oracle,graal,https://github.com/oracle/graal,"GraalVM compiles applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",21400
CSS,twbs,https://github.com/twbs,bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",174000
CSS,Chalarangelo,https://github.com/Chalarangelo,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,126000
CSS,electron,https://github.com/electron,electron,https://github.com/electron/electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",120000
CSS,microsoft,https://github.com/microsoft,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",95100
CSS,tailwindlabs,https://github.com/tailwindlabs,tailwindcss,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,93100
CSS,florinpop17,https://github.com/florinpop17,app-ideas,https://github.com/florinpop17/app-ideas,A Collection of application ideas which can be used to improve your coding skills.,89800
CSS,animate-css,https://github.com/animate-css,animate.css,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,82600
CSS,FortAwesome,https://github.com/FortAwesome,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",76200
CSS,thedaviddias,https://github.com/thedaviddias,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,72000
CSS,juliangarnier,https://github.com/juliangarnier,anime,https://github.com/juliangarnier/anime,JavaScript animation engine,65900
CSS,h5bp,https://github.com/h5bp,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",57400
CSS,necolas,https://github.com/necolas,normalize.css,https://github.com/necolas/normalize.css,A modern alternative to CSS resets,53800
CSS,prettier,https://github.com/prettier,prettier,https://github.com/prettier/prettier,Prettier is an opinionated code formatter.,51400
CSS,jgthms,https://github.com/jgthms,bulma,https://github.com/jgthms/bulma,Modern CSS framework based on Flexbox,50100
CSS,Asabeneh,https://github.com/Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days, please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",45900
CSS,ColorlibHQ,https://github.com/ColorlibHQ,AdminLTE,https://github.com/ColorlibHQ/AdminLTE,AdminLTE - Free admin dashboard template based on Bootstrap 5,45300
CSS,vercel,https://github.com/vercel,hyper,https://github.com/vercel/hyper,A terminal built on web technologies,44700
CSS,parcel-bundler,https://github.com/parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,The zero configuration build tool for the web. 📦🚀,44000
CSS,yangshun,https://github.com/yangshun,front-end-interview-handbook,https://github.com/yangshun/front-end-interview-handbook,Front End interview preparation materials for busy engineers (updated for 2025),43800
CSS,styled-components,https://github.com/styled-components,styled-components,https://github.com/styled-components/styled-components,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,41000
Database,supabase,https://github.com/supabase,supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",96500
Database,netdata,https://github.com/netdata,netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",77400
Database,redis,https://github.com/redis,redis,https://github.com/redis/redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",72600
Database,Asabeneh,https://github.com/Asabeneh,30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw,56000
Database,meilisearch,https://github.com/meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,55500
Database,etcd-io,https://github.com/etcd-io,etcd,https://github.com/etcd-io/etcd,Distributed reliable key-value store for the most critical data of a distributed system,51400
Database,dbeaver,https://github.com/dbeaver,dbeaver,https://github.com/dbeaver/dbeaver,Free universal database tool and SQL client,48300
Database,metabase,https://github.com/metabase,metabase,https://github.com/metabase/metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data 📊,45700
Database,ClickHouse,https://github.com/ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,ClickHouse® is a real-time analytics database management system,45300
Database,LeCoupa,https://github.com/LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.",45200
Database,prisma,https://github.com/prisma,prisma,https://github.com/prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",45100
Database,pingcap,https://github.com/pingcap,tidb,https://github.com/pingcap/tidb,"TiDB - the open-source, cloud-native, distributed SQL database designed for modern applications.",39600
Database,QuivrHQ,https://github.com/QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.",38900
Database,huihut,https://github.com/huihut,interview,https://github.com/huihut/interview,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation…",37400
Database,sqlmapproject,https://github.com/sqlmapproject,sqlmap,https://github.com/sqlmapproject/sqlmap,Automatic SQL injection and database takeover tool,36300
Database,typeorm,https://github.com/typeorm,typeorm,https://github.com/typeorm/typeorm,"ORM for TypeScript and JavaScript. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.",36300
Database,SheetJS,https://github.com/SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,📗 SheetJS Spreadsheet Data Toolkit -- New home https://git.sheetjs.com/SheetJS/sheetjs,36100
Database,duckdb,https://github.com/duckdb,duckdb,https://github.com/duckdb/duckdb,DuckDB is an analytical in-process SQL database management system,35500
Database,directus,https://github.com/directus,directus,https://github.com/directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",34000
Database,cockroachdb,https://github.com/cockroachdb,cockroach,https://github.com/cockroachdb/cockroach,"CockroachDB — the cloud native, distributed SQL database designed for high availability, effortless scale, and control over data placement.",31800
Front end,facebook,https://github.com/facebook,react,https://github.com/facebook/react,The library for web and native user interfaces.,242000
Front end,vuejs,https://github.com/vuejs,vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",210000
Front end,vitejs,https://github.com/vitejs,vite,https://github.com/vitejs/vite,Next generation frontend tooling. It's fast!,77700
